18:50:05 [INFO] Opening target process: csgo.exe
18:50:05 [INFO] Starting signature scanning: 58 items
18:50:05 [INFO] Found signature: dwClientState => 0x59F19C
18:50:05 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
18:50:05 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
18:50:05 [INFO] Found signature: dwClientState_Map => 0x28C
18:50:05 [INFO] Found signature: dwClientState_MapDirectory => 0x188
18:50:05 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
18:50:05 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
18:50:05 [INFO] Found signature: dwClientState_State => 0x108
18:50:05 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
18:50:05 [INFO] Found signature: clientstate_delta_ticks => 0x174
18:50:05 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
18:50:05 [INFO] Found signature: clientstate_choked_commands => 0x4D30
18:50:05 [INFO] Found signature: clientstate_net_channel => 0x9C
18:50:05 [INFO] Found signature: dwEntityList => 0x4E0102C
18:50:05 [INFO] Found signature: dwForceAttack => 0x322EE98
18:50:05 [INFO] Found signature: dwForceAttack2 => 0x322EEA4
18:50:05 [INFO] Found signature: dwForceBackward => 0x322EEE0
18:50:05 [INFO] Found signature: dwForceForward => 0x322EED4
18:50:05 [INFO] Found signature: dwForceJump => 0x52BCD88
18:50:05 [INFO] Found signature: dwForceLeft => 0x322EE50
18:50:05 [INFO] Found signature: dwForceRight => 0x322EE5C
18:50:05 [INFO] Found signature: dwGameDir => 0x63AE00
18:50:05 [INFO] Found signature: dwGameRulesProxy => 0x5330594
18:50:05 [INFO] Found signature: dwGetAllClasses => 0xE0CFA4
18:50:05 [INFO] Found signature: dwGlobalVars => 0x59EE60
18:50:05 [INFO] Found signature: dwGlowObjectManager => 0x535BAD0
18:50:05 [INFO] Found signature: dwInput => 0x525E600
18:50:05 [INFO] Found signature: dwInterfaceLinkList => 0x99CF84
18:50:05 [INFO] Found signature: dwLocalPlayer => 0xDEB99C
18:50:05 [INFO] Found signature: dwMouseEnable => 0x523A260
18:50:05 [INFO] Found signature: dwMouseEnablePtr => 0x523A230
18:50:05 [INFO] Found signature: dwPlayerResource => 0x322D1D0
18:50:05 [INFO] Found signature: dwRadarBase => 0x5237B04
18:50:05 [INFO] Found signature: dwSensitivity => 0xDEFBB8
18:50:05 [INFO] Found signature: dwSensitivityPtr => 0xDEFBB8
18:50:05 [INFO] Found signature: dwSetClanTag => 0x8DAB0
18:50:05 [INFO] Found signature: dwViewMatrix => 0x4DF1E74
18:50:05 [INFO] Found signature: dwWeaponTable => 0x525F6DC
18:50:05 [INFO] Found signature: dwWeaponTableIndex => 0x326C
18:50:05 [INFO] Found signature: dwYawPtr => 0xDEF948
18:50:05 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDF53B8
18:50:05 [INFO] Found signature: dwbSendPackets => 0xDD2D2
18:50:05 [INFO] Found signature: dwppDirect3DDevice9 => 0xA62C0
18:50:05 [INFO] Found signature: m_pStudioHdr => 0x2950
18:50:05 [INFO] Found signature: m_yawClassPtr => 0xDEF948
18:50:05 [INFO] Found signature: m_pitchClassPtr => 0x523A158
18:50:05 [INFO] Found signature: interface_engine_cvar => 0x3FA9C
18:50:05 [INFO] Found signature: convar_name_hash_table => 0x301A0
18:50:05 [INFO] Found signature: m_bDormant => 0xED
18:50:05 [INFO] Found signature: model_ambient_min => 0x5A1194
18:50:05 [INFO] Found signature: set_abs_angles => 0x1E8FC0
18:50:05 [INFO] Found signature: set_abs_origin => 0x1E8E00
18:50:05 [INFO] Found signature: is_c4_owner => 0x3E9120
18:50:05 [INFO] Found signature: force_update_spectator_glow => 0x3DB90A
18:50:05 [INFO] Found signature: anim_overlays => 0x2990
18:50:05 [INFO] Found signature: m_flSpawnTime => 0x103C0
18:50:05 [INFO] Found signature: find_hud_element => 0x52DA26C0
18:50:05 [INFO] Found signature: m_bIsLocalPlayer => 0x3628
18:50:05 [INFO] Finished signature scanning: 58/58 items successful
18:50:05 [INFO] Starting netvar scanning: 94 items
18:50:05 [INFO] Found netvar: m_ArmorValue => 0x117CC
18:50:05 [INFO] Found netvar: m_Collision => 0x320
18:50:05 [INFO] Found netvar: m_CollisionGroup => 0x474
18:50:05 [INFO] Found netvar: m_Local => 0x2FCC
18:50:05 [INFO] Found netvar: m_MoveType => 0x25B
18:50:05 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
18:50:05 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
18:50:05 [INFO] Found netvar: m_aimPunchAngle => 0x303C
18:50:05 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
18:50:05 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
18:50:05 [INFO] Found netvar: m_bHasDefuser => 0x117DC
18:50:05 [INFO] Found netvar: m_bHasHelmet => 0x117C0
18:50:05 [INFO] Found netvar: m_bInReload => 0x3248
18:50:05 [INFO] Found netvar: m_bIsDefusing => 0x997C
18:50:05 [INFO] Found netvar: m_bIsScoped => 0x9974
18:50:05 [INFO] Found netvar: m_bSpotted => 0x93D
18:50:05 [INFO] Found netvar: m_bSpottedByMask => 0x980
18:50:05 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
18:50:05 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
